datetime,temp,on_sec(s),power(%),P,I,D,PID
20230703 21:58:37,56.437,5,1,3.5630000000000024,9.221087836930371,-0.05,0.0
20230703 21:58:42,56.437,5,1,3.5630000000000024,9.111706638993045,-0.05,0.0
20230703 21:58:47,56.437,5,1,3.5630000000000024,9.03357743759482,-0.025,0.0
20230703 21:58:52,56.625,5,1,3.5630000000000024,8.97107743759482,0.0,0.0
20230703 21:58:57,56.687,5,1,3.375,8.89356228466654,-0.03760000000000048,0.0
20230703 21:59:02,56.687,5,1,3.3130000000000024,8.752417256060518,-0.05,0.0
20230703 21:59:07,56.687,5,1,3.3130000000000024,8.627417256060518,-0.05,0.0
20230703 21:59:12,56.812,5,1,3.3130000000000024,8.50241725606052,-0.012399999999999523,0.0
20230703 21:59:17,56.875,5,1,3.1880000000000024,8.346768125157581,-0.025,0.0
20230703 21:59:22,56.875,5,1,3.125,8.189401734957709,-0.03760000000000048,0.0
20230703 21:59:27,57.0,5,1,3.125,8.07975804476632,-0.03760000000000048,0.0
20230703 21:59:33,57.062,5,1,3.0,7.95514579986836,-0.03760000000000048,0.0
20230703 21:59:38,57.062,5,1,2.9380000000000024,7.78330763887139,-0.037399999999999524,0.0
20230703 21:59:43,57.125,5,1,2.9380000000000024,7.626456769774329,-0.037399999999999524,0.0
20230703 21:59:48,57.25,5,1,2.875,7.5014702890990534,-0.025,0.0
20230703 21:59:53,57.25,5,1,2.75,7.345914733543498,-0.03760000000000048,0.0
20230703 21:59:58,57.312,5,1,2.75,7.189026978441458,-0.03760000000000048,0.0
20230703 22:00:03,57.375,5,1,2.6880000000000024,7.064041858820552,-0.037399999999999524,0.0
20230703 22:00:08,57.437,5,1,2.625,6.923478617713833,-0.025,0.0
20230703 22:00:14,57.5,5,1,2.5,6.7360039033637396,-0.03760000000000048,0.0
20230703 22:00:19,57.625,5,1,2.5,6.595005439563184,-0.03780000000000143,0.0
20230703 22:00:24,57.625,5,1,2.375,6.439556721614466,-0.05020000000000096,0.0
20230703 22:00:31,57.625,5,1,2.375,6.267380002232339,-0.03760000000000048,0.0
20230703 22:00:37,57.687,5,1,2.3130000000000024,6.111148234806635,-0.037399999999999524,0.0
20230703 22:00:43,57.812,5,1,2.1880000000000024,5.971320116859927,-0.037399999999999524,0.0
